Dato,Cumulative,New
21.02.2020,1,1
22.02.2020,1,0
23.02.2020,1,0
24.02.2020,1,0
25.02.2020,1,0
26.02.2020,4,3
27.02.2020,6,2
28.02.2020,15,9
29.02.2020,21,6
01.03.2020,31,10
02.03.2020,43,12
03.03.2020,74,31
04.03.2020,107,33
05.03.2020,140,33
06.03.2020,164,24
07.03.2020,184,20
08.03.2020,249,65
09.03.2020,496,247
10.03.2020,737,241
11.03.2020,912,175
12.03.2020,1118,206
13.03.2020,1265,147
14.03.2020,1365,100
15.03.2020,1464,99
16.03.2020,1644,180
17.03.2020,1820,176
18.03.2020,2033,213
19.03.2020,2272,239
20.03.2020,2580,308
21.03.2020,2754,174
22.03.2020,2902,148
23.03.2020,3198,296
24.03.2020,3511,313
25.03.2020,3803,292
26.03.2020,4101,298
27.03.2020,4363,262
28.03.2020,4529,166
29.03.2020,4635,106
30.03.2020,4899,264
31.03.2020,5107,208
01.04.2020,5305,198
02.04.2020,5503,198
03.04.2020,5667,164
04.04.2020,5755,88
05.04.2020,5827,72
06.04.2020,5986,159
07.04.2020,6126,140
08.04.2020,6232,106
09.04.2020,6335,103
10.04.2020,6403,68
11.04.2020,6512,109
12.04.2020,6588,76
13.04.2020,6665,77
14.04.2020,6787,122
15.04.2020,6890,103
16.04.2020,6970,80
17.04.2020,7078,108
18.04.2020,7127,49
19.04.2020,7163,36
20.04.2020,7247,84
21.04.2020,7325,78
22.04.2020,7402,77
23.04.2020,7471,69
24.04.2020,7524,53
25.04.2020,7549,25
26.04.2020,7586,37
27.04.2020,7657,71
28.04.2020,7707,50
29.04.2020,7746,39
30.04.2020,7785,39
01.05.2020,7828,43
02.05.2020,7851,23
03.05.2020,7895,44
04.05.2020,7940,45
05.05.2020,7983,43
06.05.2020,8022,39
07.05.2020,8051,29
08.05.2020,8093,42
09.05.2020,8104,11
10.05.2020,8116,12
11.05.2020,8141,25
12.05.2020,8160,19
13.05.2020,8179,19
14.05.2020,8202,23
15.05.2020,8225,23
16.05.2020,8238,13
17.05.2020,8242,4
18.05.2020,8259,17
19.05.2020,8279,20
20.05.2020,8298,19
21.05.2020,8312,14
22.05.2020,8338,26
23.05.2020,8344,6
24.05.2020,8350,6
25.05.2020,8368,18
26.05.2020,8380,12
27.05.2020,8398,18
28.05.2020,8414,16
29.05.2020,8430,16
30.05.2020,8430,0
31.05.2020,8436,6
01.06.2020,8443,7
02.06.2020,8474,31
03.06.2020,8486,12
04.06.2020,8503,17
05.06.2020,8533,30
06.06.2020,8541,8
07.06.2020,8550,9
08.06.2020,8568,18
09.06.2020,8581,13
10.06.2020,8595,14
11.06.2020,8606,11
12.06.2020,8619,13
13.06.2020,8626,7
14.06.2020,8632,6
15.06.2020,8650,18
16.06.2020,8686,36
17.06.2020,8701,15
18.06.2020,8714,13
19.06.2020,8732,18
20.06.2020,8738,6
21.06.2020,8742,4
22.06.2020,8770,28
23.06.2020,8783,13
24.06.2020,8804,21
25.06.2020,8821,17
26.06.2020,8843,22
27.06.2020,8853,10
28.06.2020,8854,1
29.06.2020,8880,26
30.06.2020,8890,10
01.07.2020,8898,8
02.07.2020,8907,9
03.07.2020,8917,10
04.07.2020,8919,2
