Dato,CumNBRDose1,CumNbrDose2,NbrPersonsDose1,NbrPersonsDose2
12/2/2020,0,0,0,0
12/3/2020,0,0,0,0
12/4/2020,0,0,0,0
12/5/2020,0,0,0,0
12/6/2020,0,0,0,0
12/7/2020,0,0,0,0
12/8/2020,0,0,0,0
12/9/2020,0,0,0,0
12/10/2020,0,0,0,0
12/11/2020,0,0,0,0
12/12/2020,0,0,0,0
12/13/2020,0,0,0,0
12/14/2020,0,0,0,0
12/15/2020,0,0,0,0
12/16/2020,0,0,0,0
12/17/2020,0,0,0,0
12/18/2020,0,0,0,0
12/19/2020,0,0,0,0
12/20/2020,0,0,0,0
12/21/2020,0,0,0,0
12/22/2020,6,0,6,0
12/23/2020,6,0,0,0
12/24/2020,12,0,6,0
12/25/2020,12,0,0,0
12/26/2020,12,0,0,0
12/27/2020,27,0,15,0
12/28/2020,639,0,612,0
12/29/2020,1712,0,1073,0
12/30/2020,2159,0,447,0
12/31/2020,2239,0,80,0
1/1/2021,2252,0,13,0
1/2/2021,2263,0,11,0
1/3/2021,2289,0,26,0
1/4/2021,2308,0,19,0
1/5/2021,5713,0,3405,0
1/6/2021,14818,0,9105,0
1/7/2021,21401,0,6583,0
1/8/2021,23032,0,1631,0
1/9/2021,23189,0,157,0
1/10/2021,23315,0,126,0
1/11/2021,23710,0,395,0
1/12/2021,28032,0,4322,0
1/13/2021,37926,0,9894,0
1/14/2021,46457,0,8531,0
1/15/2021,51014,0,4557,0
1/16/2021,51797,0,783,0
1/17/2021,52172,7,375,7
1/18/2021,53468,309,1296,302
1/19/2021,58090,1135,4622,826
1/20/2021,68203,1833,10113,698
1/21/2021,76746,2007,8543,174
1/22/2021,80126,2022,3380,15
1/23/2021,80507,2027,381,5
1/24/2021,80585,2027,78,0
1/25/2021,81159,2038,574,11
1/26/2021,83496,4421,2337,2383
1/27/2021,95072,12210,11576,7789
1/28/2021,106037,18867,10965,6657
1/29/2021,109896,20999,3859,2132
1/30/2021,110075,21216,179,217
1/31/2021,110235,21280,160,64
2/1/2021,110455,21625,220,345
2/2/2021,116838,24952,6383,3327
2/3/2021,142153,33736,25315,8784
2/4/2021,168306,42632,26153,8896
2/5/2021,179098,47629,10792,4997
2/6/2021,179934,48397,836,768
2/7/2021,180266,48726,332,329
2/8/2021,180383,49666,117,940
2/9/2021,186009,53078,5626,3412
2/10/2021,209140,62139,23131,9061
2/11/2021,230258,70979,21118,8840
2/12/2021,238425,74701,8167,3722
2/13/2021,239349,75030,924,329
2/14/2021,239468,75040,119,10
2/15/2021,240318,75812,850,772
2/16/2021,246489,78101,6171,2289
2/17/2021,268411,88764,21922,10663
2/18/2021,287456,99845,19045,11081
2/19/2021,298267,104734,10811,4889
2/20/2021,298803,104940,536,206
2/21/2021,298878,105092,75,152
2/22/2021,301483,105267,2605,175
2/23/2021,307526,110659,6043,5392
2/24/2021,318744,133763,11218,23104
2/25/2021,329961,160397,11217,26634
2/26/2021,338349,170600,8388,10203
2/27/2021,338819,170877,470,277
2/28/2021,339371,171050,552,173
3/1/2021,345423,171132,6052,82
3/2/2021,356166,175094,10743,3962
3/3/2021,374210,193768,18044,18674
3/4/2021,390589,212703,16379,18935
3/5/2021,402616,219483,12027,6780
3/6/2021,403068,219988,452,505
3/7/2021,403220,219998,152,10
3/8/2021,408345,220058,5125,60
3/9/2021,421148,224437,12803,4379
3/10/2021,442535,242229,21387,17792
3/11/2021,454587,259502,12052,17273
3/12/2021,456983,268059,2396,8557
3/13/2021,457073,268383,90,324
3/14/2021,457105,268511,32,128
3/15/2021,457258,268970,153,459
3/16/2021,463115,269730,5857,760
3/17/2021,486577,271638,23462,1908
